split,accuracy,balanced_accuracy,precision_spam,recall_spam,f1_spam
train,0.9165649821572465,0.9136953009568253,0.8798809523809524,0.9020014644862094,0.890803905025913
validation,0.9237569060773481,0.9232014404845266,0.8821879382889201,0.9209370424597365,0.9011461318051576
test,0.9093922651933701,0.9059943539450283,0.8708909004287756,0.8921425085407516,0.8813886210221794
