split,accuracy,balanced_accuracy,precision_spam,recall_spam,f1_spam
train,0.9925866236905722,0.9913059746772447,0.9942168081702966,0.9860873810104955,0.9901354083695852
validation,0.9631675874769797,0.9584059226848165,0.9624812406203102,0.9389946315275745,0.950592885375494
test,0.9578268876611418,0.9535404332972606,0.9513888888888888,0.936066373840898,0.9436654366543665
