Embed,Train F1,Train bal acc,Val F1,Val bal acc,Test F1,Test bal acc
SVM-TFIDF1000,0.9354,0.9344,0.9283,0.9278,0.9332,0.9317
SVM-TFIDF3000,0.9618,0.9613,0.9478,0.9465,0.9474,0.9457
SVM-BOW1000,0.9342,0.9276,0.9252,0.9184,0.9248,0.9171
SVM-BOW3000,0.9675,0.9636,0.9444,0.939,0.9416,0.9369
