split,accuracy,balanced_accuracy,precision_spam,recall_spam,f1_spam
train,0.9611373316449867,0.960606858937884,0.9397511068565274,0.9584452038076642,0.9490061023503111
validation,0.9524861878453039,0.9520397120589913,0.9258202567760342,0.9502196193265008,0.9378612716763006
test,0.9449355432780847,0.9436691475877383,0.9174618320610687,0.9385065885797951,0.9278648974668275
