Embed,Train F1,Train bal acc,Val F1,Val bal acc,Test F1,Test bal acc
NB-TFIDF1000,0.8987,0.8922,0.8978,0.8915,0.8954,0.8884
NB-TFIDF3000,0.9183,0.9157,0.918,0.9146,0.9115,0.9086
NB-BOW1000,0.8516,0.8629,0.8521,0.8643,0.845,0.8565
NB-BOW3000,0.8714,0.8823,0.8724,0.8826,0.867,0.8771
