Embed,Train F1,Train bal acc,Val F1,Val bal acc,Test F1,Test bal acc
RF-TFIDF1000,0.9862,0.9844,0.949,0.9455,0.9488,0.9449
RF-TFIDF3000,0.9929,0.9916,0.9605,0.9566,0.9572,0.9527
RF-BOW1000,0.9866,0.9846,0.9478,0.9433,0.9459,0.9402
RF-BOW3000,0.993,0.9917,0.9579,0.9539,0.957,0.9525
