Embed,Train F1,Train bal acc,Val F1,Val bal acc,Test F1,Test bal acc
KNN-TFIDF1000,0.8896,0.8743,0.8788,0.8641,0.8782,0.8619
KNN-TFIDF3000,0.896,0.883,0.884,0.8699,0.8813,0.8681
KNN-BOW1000,0.8867,0.878,0.8745,0.8672,0.873,0.8632
KNN-BOW3000,0.8816,0.8772,0.8713,0.8679,0.8687,0.8626
